case,other_name,other_code,nIa,nothers,perc_Ia,perc_others,accuracy,efficiency,purity,fom1,fom3,wfit_w_lowz,wfit_wsig_lowz,wfit_om_lowz,wfit_omsig_lowz,stan_w_lowz,stan_wsig_lowz,stan_om_lowz,stan_omsig_lowz,WassersteinDistanceMedian,KLD
86SNIa14SNIax,Iax,43,2580,420,86.0,14.0,0.7569444444444444,0.86,0.86,0.7395999999999999,0.5778125000000001,-1.184,0.0135,0.311,0.0009,-1.1,0.01,0.31,1.1e-3,0.0877097056872351,1551851391.9914913
95SNIa5SNIbc,"['Ibc', 'Ibc']","[3, 13]",2850,"[98, 52]",95.0,"[3.0, 2.0]",0.9131944444444444,0.95,0.95,0.9025,0.8204545454545454,-1.07,0.0069,0.311,0.0017,-1.07,0.01,0.31,2.0e-3,0.056677364473972,201545587.2976886
fiducial1500,"['II', 'Ibc', 'II', 'Ibc', 'II', '91bg', 'Iax']","[2, 3, 12, 13, 14, 41, 43]",1154,"[187, 15, 92, 6, 20, 1, 25]",77.0,"[12.0, 1.0, 6.0, 0.0, 1.0, 0.0, 2.0]",0.5995370370370371,0.7693333333333333,0.7693333333333333,0.5918737777777777,0.40502311435523114,-10.38,0.0189,0.311,0.0002,-1.19,0.02,0.31,1.2e-3,0.18261771154126502,2487343773.849465
99.1SNIa0.9CART,CART,63,2973,27,99.0,0.9,0.9843749999999999,0.991,0.991,0.982081,0.9647161100196462,-1.032,0.0415,0.311,0.0047,-1.04,0.01,0.31,3.5e-3,0.0269775450772749,10826876.206379997
perfect1500,,,1500,,100.0,,1.0,1.0,1.0,1.0,1.0,-1.051,0.0413,0.308,0.0057,-1.01,0.02,0.3,5.7e-3,0.00481879688869273,514790.9011868833
95SNIa5SNII,"['II', 'II', 'II']","[2, 12, 14]",2850,"[88, 55, 7]",95.0,"[3.0, 2.0, 0.0]",0.9131944444444444,0.95,0.95,0.9025,0.8204545454545454,-1.1555,0.0219,0.311,0.0018,-1.05,0.01,0.31,2.6e-3,0.0427067651832314,35754388.569717996
random6000,"['II', 'Ibc', 'II', 'Ibc', 'II', '91bg', 'Iax', 'SLSN', 'CART', 'AGN']","[2, 3, 12, 13, 14, 41, 43, 60, 63, 70]",4588,"[525, 47, 262, 46, 63, 6, 428, 4, 28, 3]",76.0,"[9.0, 1.0, 4.0, 1.0, 1.0, 0.0, 7.0, 0.0, 0.0, 0.0]",0.5914351851851852,0.7646666666666667,0.7646666666666666,0.5847151111111111,0.3975850710184346,-10.38,0.0023,0.311,0.0001,-1.15,7.8e-3,0.31,2.9e-4,0.14179447510036403,3317096350.7581635
fiducial6000,"['II', 'Ibc', 'II', 'Ibc', 'II', '91bg', 'Iax', 'CART', 'TDE', 'AGN']","[2, 3, 12, 13, 14, 41, 43, 63, 64, 70]",4953,"[525, 55, 262, 31, 63, 6, 102, 1, 1, 1]",83.0,"[9.0, 1.0, 4.0, 1.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0]",0.6970486111111112,0.8255,0.8255,0.68145025,0.5051521497405486,-10.38,0.0031,0.311,0.0001,-1.14,7.3e-3,0.31,3.5e-4,0.12492244029638301,3311154654.200799
perfect6000,,,6000,,100.0,,1.0,1.0,1.0,1.0,1.0,-1.0415,0.0467,0.311,0.0055,-1.03,0.01,0.31,4.1e-3,0.0158435926122069,5399616.023208741
99.9SNIa0.1AGN,AGN,70,2997,3,100.0,0.1,0.9982638888888891,0.999,0.9990000000000001,0.9980010000000001,0.9960089820359284,-1.051,0.0407,0.3107,0.0053,-1.02,0.02,0.3,5.0e-3,0.00968667999691322,1176456.453238976
fiducial3000,"['II', 'Ibc', 'II', 'Ibc', 'II', 'Iax']","[2, 3, 12, 13, 14, 43]",2887,"[38, 2, 2, 4, 8, 59]",96.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 2.0]",0.9346064814814815,0.9623333333333334,0.9623333333333334,0.9260854444444445,0.8612077908658814,-1.0795,0.0243,0.2987,0.005,-1.0,0.02,0.3,5.6e-3,0.15136652873497,3250197489.1001678
perfect3000,,,3000,,100.0,,1.0,1.0,1.0,1.0,1.0,-1.0415,0.0475,0.309,0.0062,-1.01,0.02,0.3,5.4e-3,0.19682958017827,0.0
99.9SNIa0.1SLSN,SLSN,60,2997,3,100.0,0.1,0.9982638888888891,0.999,0.9990000000000001,0.9980010000000001,0.9960089820359284,-1.0415,0.0473,0.3093,0.006,-1.02,0.02,0.3,5.0e-3,0.0115860512690699,2259274.426366089
91SNIa9SNIax,Iax,43,2730,270,91.0,9.0,0.84375,0.91,0.91,0.8281000000000001,0.7017796610169492,-1.127,0.0475,0.311,0.0018,-1.07,0.01,0.31,1.7e-3,0.0572764663390768,321802488.4345065
90SNIa10SNII,"['II', 'II', 'II']","[2, 12, 14]",2700,"[181, 94, 25]",90.0,"[6.0, 3.0, 1.0]",0.8263888888888888,0.9,0.9,0.81,0.675,-1.336,0.033,0.311,0.0008,-1.1,0.01,0.31,1.4e-3,0.0863221788550213,1320071441.1186981
98SNIa2SNII,"['II', 'II', 'II']","[2, 12, 14]",2940,"[47, 12, 1]",98.0,"[2.0, 0.0, 0.0]",0.9652777777777778,0.98,0.98,0.9603999999999999,0.9234615384615384,-1.089,0.0073,0.31,0.0035,-1.03,0.02,0.3,4.5e-3,0.0195332943174841,5133293.069508951
72SNIa28SNII,"['II', 'II', 'II']","[2, 12, 14]",2160,"[521, 256, 63]",72.0,"[17.0, 9.0, 2.0]",0.5138888888888888,0.72,0.72,0.5184,0.3323076923076923,-10.38,0.0116,0.311,0.0002,-1.21,0.01,0.31,4.6e-4,0.19682958017827,
90SNIa10SNIax,Iax,43,2700,300,90.0,10.0,0.8263888888888888,0.9,0.9,0.81,0.675,-1.127,0.0454,0.311,0.0018,-1.08,0.01,0.31,1.6e-3,0.0661481611443659,516930560.74668837
random3000,"['II', 'Ibc', 'II', 'Ibc', 'II', '91bg', 'Iax', 'SLSN', 'CART', 'AGN']","[2, 3, 12, 13, 14, 41, 43, 60, 63, 70]",1853,"[525, 125, 262, 74, 63, 6, 73, 4, 12, 3]",62.0,"[18.0, 4.0, 9.0, 2.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0]",0.33622685185185186,0.6176666666666667,0.6176666666666666,0.3815121111111111,0.2161950006296436,-10.38,0.0188,0.311,0.0008,-1.21,0.01,0.31,3.6e-4,0.204163285987451,
random1500,"['II', 'Ibc', 'II', 'Ibc', 'II', '91bg', 'Iax', 'SLSN', 'CART', 'AGN']","[2, 3, 12, 13, 14, 41, 43, 60, 63, 70]",616,"[436, 61, 236, 39, 56, 6, 37, 4, 6, 3]",41.0,"[29.0, 4.0, 16.0, 3.0, 4.0, 0.0, 2.0, 0.0, 0.0, 0.0]",-0.02314814814814828,0.41066666666666657,0.4106666666666666,0.16864711111111105,0.07740840473276209,-8.9835,0.2232,0.2989,0.0001,-1.34,0.02,0.31,6.3e-4,0.331998032779561,
98SNIa2SNIax,Iax,43,2940,60,98.0,2.0,0.9652777777777778,0.98,0.98,0.9603999999999999,0.9234615384615384,-1.051,0.0422,0.311,0.0046,-1.03,0.01,0.31,4.0e-3,0.0213633186452822,5197489.616768393
92SNIa8SNIbc,"['Ibc', 'Ibc']","[3, 13]",2760,"[156, 84]",92.0,"[5.0, 3.0]",0.8611111111111112,0.92,0.92,0.8464,0.7296551724137932,-1.127,0.0472,0.311,0.0018,-1.07,0.01,0.31,1.5e-3,0.0593905864554035,314419312.19208235
99SNIa1SNIax,Iax,43,2970,30,99.0,1.0,0.9826388888888888,0.99,0.99,0.9801,0.9608823529411765,-1.0605,0.0268,0.311,0.0041,-1.02,0.02,0.3,4.9e-3,0.013366084518035,2599181.2371975603
99SNIa1SNIbc,"['Ibc', 'Ibc']","[3, 13]",2970,"[19, 11]",99.0,"[1.0, 0.0]",0.9826388888888888,0.99,0.99,0.9801,0.9608823529411765,-1.0795,0.0122,0.3107,0.0036,-1.02,0.02,0.3,5.1e-3,0.00676601264101523,463655.9694497721
99.8SNIa0.2SNIa-91bg,91bg,41,2994,6,100.0,0.2,0.9965277777777778,0.998,0.998,0.996004,0.9920358565737051,-1.051,0.0441,0.309,0.0059,-1.01,0.02,0.3,5.5e-3,0.005098553981555121,589734.322458955
75SNIa25SNII,"['II', 'II', 'II']","[2, 12, 14]",2250,"[471, 225, 54]",75.0,"[16.0, 8.0, 2.0]",0.5659722222222222,0.75,0.75,0.5625,0.375,-10.38,0.012,0.311,0.0002,-1.19,0.01,0.31,5.6e-4,0.174455931957114,3317010155.3213863
95SNIa5SNIax,Iax,43,2850,150,95.0,5.0,0.9131944444444444,0.95,0.95,0.9025,0.8204545454545454,-1.0985,0.0125,0.311,0.0029,-1.05,0.01,0.31,3.1e-3,0.0375934283296549,30350282.30391521
99SNIa1SNII,"['II', 'II', 'II']","[2, 12, 14]",2970,"[19, 10, 1]",99.0,"[1.0, 0.0, 0.0]",0.9826388888888888,0.99,0.99,0.9801,0.9608823529411765,-1.07,0.0232,0.311,0.0039,-1.02,0.02,0.3,5.0e-3,0.0086635244798013,712326.8647342162
98SNIa2SNIbc,"['Ibc', 'Ibc']","[3, 13]",2940,"[34, 26]",98.0,"[1.0, 1.0]",0.9652777777777778,0.98,0.98,0.9603999999999999,0.9234615384615384,-1.07,0.0124,0.311,0.0031,-1.03,0.01,0.31,4.2e-3,0.018508805174946998,3938789.0912943473
